# format: v1
# Proxies that opened a TLS tunnel to raw.githubusercontent.com:443 and returned
# sixteen bytes of subs/all.txt, within 8 seconds. Nothing else qualifies.
#
# Regenerated 2026-09-25T22:47:44Z · 4350 entries · 2588 proved this run
# Density: 168/600 of a random sample worked on re-check (28%, measured 2026-09-25) — the file's only real quality score.
#
# Format: scheme://host:port | country | ms | days-alive
# Everything after the first space or | is ignored by the client, so this is safe.
#

http://149.54.16.170:8080 | AF | 1684ms | 0d
http://84.22.48.28:8080 | AL | 6080ms | 1d
http://84.22.48.150:8080 | AL | 6229ms | 1d
http://109.236.45.95:8989 | AL | 5277ms | 1d
http://38.226.251.67:999 | AR | 5362ms | 0d
http://45.174.149.222:999 | AR | 6629ms | 0d
http://138.121.114.54:8080 | AR | 7201ms | 0d
http://168.194.34.196:9001 | AR | 5920ms | 2d
http://181.192.2.23:8080 | AR | 6200ms | 1d
http://181.209.106.74:8080 | AR | 1553ms | 1d
http://186.125.218.150:999 | AR | 4438ms | 2d
http://187.102.219.32:999 | AR | 5645ms | 2d
http://187.102.219.34:999 | AR | 1110ms | 0d
http://187.102.219.42:999 | AR | 1293ms | 3d
http://187.102.219.64:999 | AR | 1103ms | 0d
http://190.7.24.103:3129 | AR | 7007ms | 0d
http://190.122.91.130:999 | AR | 6166ms | 0d
http://190.188.131.87:8080 | AR | 5973ms | 0d
http://200.70.35.2:8080 | AR | 5855ms | 1d
http://200.110.218.10:999 | AR | 7885ms | 2d
http://200.110.218.11:999 | AR | 3936ms | 1d
http://159.195.110.240:8080 | AT | 867ms | 2d
http://3.26.199.107:1234 | AU | 3173ms | 2d
http://3.26.199.107:9904 | AU | 3055ms | 3d
http://13.239.253.213:3128 | AU | 2796ms | 1d
http://15.135.215.62:25426 | AU | 3298ms | 1d
http://16.26.143.154:28554 | AU | 5708ms | 0d
http://16.26.143.154:59988 | AU | 2988ms | 2d
http://16.26.154.68:3763 | AU | 3285ms | 0d
http://16.26.154.68:51949 | AU | 5593ms | 2d
http://16.26.208.68:1256 | AU | 2740ms | 0d
http://16.26.208.68:18596 | AU | 2540ms | 1d
http://16.51.5.77:16637 | AU | 2711ms | 1d
http://16.51.5.77:58605 | AU | 3777ms | 3d
http://16.51.53.116:23517 | AU | 2946ms | 0d
http://16.51.53.116:8466 | AU | 3974ms | 1d
http://16.176.232.186:1222 | AU | 2669ms | 1d
http://16.176.232.186:6547 | AU | 5262ms | 1d
http://54.206.129.120:40000 | AU | 3523ms | 3d
http://54.206.129.120:41345 | AU | 2601ms | 0d
http://61.29.96.146:80 | AU | 6369ms | 1d
http://130.162.192.208:8080 | AU | 4394ms | 0d
http://139.99.238.83:8080 | AU | 1216ms | 0d
http://59.153.30.20:8888 | BD | 1589ms | 1d
http://61.247.186.234:1111 | BD | 7484ms | 1d
http://103.72.198.132:55 | BD | 3208ms | 1d
http://103.85.183.30:4995 | BD | 4991ms | 0d
http://103.108.146.142:8080 | BD | 5518ms | 0d
http://103.127.92.161:8090 | BD | 6643ms | 0d
http://103.141.174.38:11411 | BD | 7364ms | 0d
http://103.141.174.54:11411 | BD | 6332ms | 2d
http://103.148.83.110:8889 | BD | 6492ms | 0d
http://103.170.185.162:46 | BD | 6810ms | 0d
http://103.185.250.142:1452 | BD | 5140ms | 1d
http://103.204.209.126:8080 | BD | 4750ms | 0d
http://103.204.210.208:8080 | BD | 6664ms | 0d
