# Retired by harvest.py. Kept so a source that returns is recognised
# rather than rediscovered as a stranger. Format: date	reason	value
2026-08-23T13:35:55Z	unchanged for 13d	https://raw.githubusercontent.com/SoliSpirit/SolVPN/main/Subscribes/sub2.txt
2026-08-23T13:35:55Z	unchanged for 13d	https://raw.githubusercontent.com/SoliSpirit/SolVPN/main/Subscribes/sub3.txt
2026-08-23T13:35:55Z	unchanged for 13d	https://raw.githubusercontent.com/SoliSpirit/SolVPN/main/Subscribes/sub4.txt
2026-08-23T13:35:55Z	unchanged for 13d	https://raw.githubusercontent.com/SoliSpirit/SolVPN/main/Subscribes/sub5.txt
2026-08-23T13:35:55Z	unchanged for 13d	https://raw.githubusercontent.com/SoliSpirit/SolVPN/main/Subscribes/sub6.txt
2026-08-23T13:35:55Z	unchanged for 13d	https://raw.githubusercontent.com/SoliSpirit/SolVPN/main/Subscribes/sub7.txt
2026-08-23T13:35:55Z	unchanged for 13d	https://raw.githubusercontent.com/SoliSpirit/SolVPN/main/Subscribes/sub8.txt
2026-08-23T13:35:55Z	unchanged for 13d	https://raw.githubusercontent.com/SoliSpirit/SolVPN/main/Subscribes/sub9.txt
2026-08-23T13:35:55Z	unchanged for 13d	https://raw.githubusercontent.com/SoliSpirit/SolVPN/main/Subscribes/sub10.txt
2026-08-23T13:35:55Z	never alive	https://raw.githubusercontent.com/Epodonios/v2ray-configs/refs/heads/main/Sub9.txt
2026-08-23T13:35:55Z	never alive	https://raw.githubusercontent.com/Epodonios/v2ray-configs/refs/heads/main/Sub10.txt
2026-08-23T13:35:55Z	never alive	https://raw.githubusercontent.com/Epodonios/v2ray-configs/refs/heads/main/Sub11.txt
2026-08-23T13:35:55Z	never alive	https://raw.githubusercontent.com/Epodonios/v2ray-configs/refs/heads/main/Sub12.txt
2026-08-23T13:35:55Z	never alive	https://raw.githubusercontent.com/Epodonios/v2ray-configs/refs/heads/main/Sub13.txt
2026-08-23T13:35:55Z	never alive	https://raw.githubusercontent.com/Epodonios/v2ray-configs/refs/heads/main/Sub14.txt
2026-08-23T13:35:55Z	never alive	https://raw.githubusercontent.com/nyeinkokoaung404/V2ray-Configs/main/All_Configs_base64_Sub.txt
2026-08-23T13:35:55Z	never alive	https://raw.githubusercontent.com/amir-reza-bijandi/v2ray-configs/main/configs.yaml
2026-08-23T13:35:55Z	never alive	https://githuhttps://github.com/V2RAYCONFIGSPOOL/V2RAY_SUB/blob/main/v2ray_configs_no9.txt
2026-08-23T13:35:55Z	unchanged for 13d	https://raw.githubusercontent.com/freefq/free/master/v2
2026-08-23T13:35:55Z	never alive	https://raw.githubusercontent.com/aiboboxx/v2rayfree/main/v2
2026-08-23T13:35:55Z	never alive	https://raw.githubusercontent.com/AzadNetCH/Clash/main/V2Ray.txt
2026-08-23T13:35:55Z	never alive	https://raw.githubusercontent.com/vpei/Free-Node-Merge/main/o/node.txt
2026-08-23T13:35:55Z	never alive	https://raw.githubusercontent.com/tbbatbb/Proxy/master/dist/v2ray.config.txt
2026-08-23T13:35:55Z	never alive	https://raw.fastgit.org/ripaojiedian/freenode/main/sub
